,suicides_per_100k
18551,6.292479
13750,5.751867
7806,15.699154
8049,3.5691934
8453,4.321194
1963,4.837014
12114,3.3955858
6458,10.172319
2694,17.950914
17549,7.456266
18002,13.466069
18264,13.523056
3755,12.6238575
11972,0.0
10161,4.550184
6650,28.257162
10669,17.287128
16568,13.163129
14051,11.352388
5950,11.318914
9571,10.60853
14078,0.49855247
2358,25.326773
1860,1.3956645
2086,0.7413717
2317,0.0
19376,22.470808
9850,11.229094
6833,1.378187
4708,8.505945
5654,16.241484
17637,12.410472
18216,18.368237
7397,17.70259
2799,6.1504397
7088,19.904566
1486,20.69418
5608,16.792702
13580,13.353147
4381,5.9640665
18309,13.21447
7320,18.823204
11894,0.0
10127,6.0602984
663,8.875821
9228,19.894524
9231,19.894524
13510,14.538078
20345,16.40815
15136,8.075448
9206,22.175488
12497,8.793472
3137,4.194761
607,7.303723
2132,5.8333335
16858,22.518175
6412,12.819461
12613,10.421878
3083,4.14661
12997,0.0
4775,7.4319005
4950,18.79599
16520,14.093479
8992,9.104041
14323,4.175884
1519,19.503416
11627,16.063164
17233,8.523483
8287,4.4460087
1034,2.5090194
4328,6.014694
14185,5.714192
17737,28.568308
18956,2.2796667
15925,13.299966
5740,16.050364
6779,17.53686
15275,10.199088
14653,1.2967422
18815,11.281898
17039,0.6035557
11021,24.529049
608,7.303723
17436,7.2864633
8387,4.5957994
15236,12.272015
10475,6.8619375
7306,19.629938
15601,7.1414747
14921,16.300985
1837,1.209619
551,7.031335
6852,3.0029743
13443,13.534156
19901,12.934819
20101,13.608722
7893,13.024524
7313,18.823204
13070,18.067183
13531,14.114679
6245,7.229279
11812,10.229982
8395,4.5957994
7674,2.3556845
14542,4.124731
2134,6.6777964
17743,26.374758
9017,5.3265233
19507,1.5360138
18407,7.429409
11979,0.0
15704,3.084811
18523,6.379949
3598,10.418105
6081,5.457598
3993,6.8218193
13715,6.0173936
19159,11.005214
6793,15.682175
7149,17.082644
10691,17.954449
601,7.303723
20587,5.368905
18905,2.2754714
9751,11.479137
197,5.803285
8091,3.6627746
17119,0.8510878
5945,11.318914
6973,27.40919
8996,9.104041
16755,8.553417
15790,1.7327378
5735,16.050364
15213,5.37983
9344,11.892822
1561,17.872972
14284,4.3188887
16251,19.302073
11416,1.1884396
16437,4.794496
3936,5.426804
19899,12.934819
19322,28.437443
20254,18.195713
20429,8.029837
15445,8.274351
3328,5.616382
18778,13.122477
10181,8.028203
14540,4.124731
15417,9.730077
20014,11.61335
13143,10.439408
16325,16.672033
6090,6.049439
17234,8.523483
2517,20.985352
5349,1.0135878
13248,9.917554
5417,4.8279657
12519,10.486083
19988,11.531207
15364,9.550169
11585,20.634256
12643,2.6355798
17472,8.85387
5974,11.978147
7597,4.2788854
19053,7.2323027
18844,16.320358
9086,23.278196
18979,9.675953
18024,12.931926
3703,13.106594
17595,5.305643
20662,7.265567
13956,12.168057
17712,24.70808
7176,15.290864
3132,4.538293
12525,11.187131
11783,17.25618
16546,10.637481
6214,5.7344313
12944,5.451308
17382,7.766299
12786,4.1409473
9205,22.175488
3572,10.812684
3034,3.6555974
11023,24.529049
10968,28.976143
19874,13.217145
1523,19.503416
14096,0.19277915
8269,3.5117514
12610,10.421878
19180,8.151691
14191,6.8206525
11003,28.116102
16123,11.655618
15621,6.941914
10698,18.493076
11322,2.0846815
13727,6.5891547
4800,7.0392823
12067,4.928965
2270,0.38548422
19066,8.311701
20450,7.3206444
5637,15.72936
3067,3.9451213
16690,10.903016
9193,24.848778
12077,4.928965
19383,22.697514
9708,12.336612
20141,14.364077
6264,7.1920238
7167,15.290864
6514,9.974369
11761,11.204148
20129,13.931532
3967,7.21062
4667,5.4895544
3125,4.538293
19731,7.123868
5023,17.109837
12179,6.3005686
14463,3.2331386
8526,0.0
17806,16.783928
18808,11.281898
17725,27.845798
1908,3.004797
11855,7.802001
17607,7.963884
5090,21.852013
8994,9.104041
17828,16.197502
18960,2.1313162
14780,2.55676
2456,22.635767
3068,3.9451213
5855,15.312889
16205,19.37577
16508,8.144364
19568,8.558269
20257,18.195713
9555,14.882447
20102,13.608722
14249,5.894216
3528,12.335087
3689,14.367182
7708,5.5898113
3873,11.430177
2802,6.1504397
6203,4.996203
15355,10.966268
10381,6.6397357
19588,8.219736
6301,6.758173
13794,14.711383
8697,1.9791678
8972,13.018823
13304,9.806324
17880,14.74905
8711,2.1674597
8790,2.1431968
572,7.0136905
17076,1.1660867
7882,13.628668
19953,12.158396
7784,16.619492
14462,3.2331386
9059,25.310427
19510,1.5360138
17261,8.890984
7263,20.585272
5524,20.564146
18291,13.665823
1469,23.739923
311,0.0
9502,9.137829
12844,4.2724266
825,2.476167
10052,5.7936835
14363,2.0476072
13708,6.0173936
12955,19.51477
12809,4.2608147
6157,5.6600566
1755,0.74176115
17951,13.565392
4412,5.482429
222,3.50874
7653,4.5205894
691,8.652829
19042,6.3904457
8046,3.9192917
16140,11.73332
11904,1.1741545
20556,6.9635124
12145,8.09627
7174,15.290864
4153,12.703269
18050,12.895427
1396,13.610131
20487,8.557254
10967,28.976143
1141,12.449603
1683,16.046219
7086,19.904566
2516,20.985352
15054,17.260862
7610,2.1055179
1502,20.564405
12789,4.1409473
867,3.7755575
17820,16.9245
13720,6.5891547
13581,13.353147
3230,4.9822307
1689,16.046219
4657,6.7678137
17652,16.960531
19779,7.318979
7426,17.53823
7005,23.86405
14940,16.053354
17143,1.025603
1145,12.449603
16340,15.695186
19422,20.99231
3403,17.948622
1612,16.081755
4682,7.4720707
1484,20.69418
10010,6.4795094
13906,11.640816
2958,6.0211544
12307,8.279819
2775,4.421697
3925,6.6296015
6469,9.007092
7361,18.741901
17112,0.8156634
12568,8.412516
12639,9.874732
2401,21.346226
16081,12.49772
4472,4.805081
6990,24.813665
892,2.1833441
13118,10.863794
3268,5.2046685
11779,14.612619
1435,22.92304
1748,0.72072625
16184,20.189264
14446,3.349167
19560,8.435456
16405,9.793
11694,16.083838
8597,0.0
14475,3.6798942
6493,8.33579
20317,17.15709
13110,10.863794
2092,0.7413717
13534,14.114679
7012,24.576529
2059,1.6312298
4278,3.4752758
9062,25.310427
13407,14.727778
461,0.0
19150,9.308952
1987,5.124826
5937,12.719011
13073,18.067183
13216,9.801616
16574,13.163129
6398,9.03223
17845,16.373133
19256,2.1271868
4852,22.025099
503,6.5860987
12172,5.2940164
2366,28.763186
11167,5.7496047
13624,12.768144
6330,4.8098087
15836,9.71409
14414,2.9405086
2794,6.1504397
12164,5.2940164
11747,11.330001
8455,1.0729383
11850,10.178747
2128,5.8333335
3150,4.288088
15902,13.21662
5803,20.492727
10778,24.92448
5894,13.647485
1916,3.004797
8066,4.1488743
16274,19.703684
13665,13.32243
17379,7.766299
1482,21.191097
6051,5.090369
16501,4.770708
16343,7.9614663
19842,8.038251
19355,26.94465
6930,4.087164
13760,16.635952
16435,4.794496
19869,13.217145
15564,9.470583
13749,5.751867
3165,4.813371
8205,3.7797122
13430,15.236741
13550,12.762387
15900,13.21662
2367,28.763186
2143,6.6777964
8159,3.1987653
10670,17.287128
15878,13.499486
471,0.0
16926,19.879229
20306,16.220558
5683,14.045209
10410,6.92916
18765,15.126496
17542,7.456266
12496,8.793472
20109,13.608722
15920,13.379194
14496,4.654585
12140,8.09627
20118,13.86347
4586,5.5307093
758,8.449141
16976,0.45880365
4441,5.4333024
8033,3.6289904
9580,10.60853
20316,17.15709
10358,6.773502
579,6.7545457
4676,7.4720707
1176,14.257924
3838,11.7289
18941,2.5901415
10802,24.66322
8301,5.1096272
17605,7.963884
14386,2.8944569
5698,13.929864
6955,29.029762
1509,20.916553
12090,2.8719127
6523,8.700267
2222,1.1768167
4633,6.6256137
5532,19.755962
8797,2.1431968
5963,11.680331
15166,6.862156
3639,14.151018
5463,5.4670744
12463,12.132381
14025,10.942116
10328,7.4175105
655,9.454978
20500,7.6310015
14443,3.349167
14176,5.714192
935,1.6618123
15761,2.6967537
19743,7.220036
5287,13.88903
17269,9.017511
8837,4.1343226
20218,15.242364
10223,8.377807
7907,12.40026
17573,12.966174
7873,14.163918
10963,26.42223
15736,2.9203882
14914,16.131525
15626,6.338311
5715,14.732213
2701,17.57283
1824,4.216547
13331,10.46147
3124,4.5960646
2160,7.048093
2561,21.27361
12697,3.3021114
7881,14.163918
14586,4.828557
17497,29.409597
18786,12.055677
11749,14.414314
4377,5.9640665
8800,2.6146924
3240,5.0515366
19558,8.435456
5763,14.945107
13600,12.5525675
11839,11.2493305
15013,17.880707
20565,6.9635124
4909,20.72416
17724,27.845798
17854,15.143275
14184,5.714192
768,7.6867404
15283,10.91726
3151,4.288088
10643,16.93464
16147,20.33709
7288,18.654373
16107,12.666191
9118,29.00793
12089,2.8719127
20362,17.491093
19019,7.2048273
16349,7.9614663
20015,11.61335
15112,9.21124
1710,2.1301625
6280,7.341875
11849,10.178747
14503,4.6620893
13924,12.2967205
4440,5.4333024
9184,25.487068
9095,28.432524
7148,17.082644
18053,13.630197
563,7.0136905
5774,14.945107
16245,19.302073
10923,21.470295
5922,12.397217
11316,2.0846815
14870,15.230619
496,7.3562016
1731,1.8470803
