,country,year,sex,age,generation,incomelevel,depression,alcohol
16232,67,2006,0,5,5,2,2.644229,1.974473
12606,50,2014,1,1,4,2,3.505226,1.296276
16957,71,1997,0,5,1,2,3.70284,1.702054
6816,27,2002,1,4,5,2,3.162425,1.045809
9999,39,2001,0,1,2,0,4.223129,0.547597
6657,26,2002,0,5,5,0,4.411393,5.022471
9345,37,1998,0,0,2,0,3.542659,1.171648
15600,64,2012,1,4,0,0,2.724971,1.728964
2676,10,2013,1,5,5,0,4.110062,1.450025
10446,40,2012,1,3,3,0,3.455367,0.467127
978,3,2006,0,1,2,2,2.698772,1.932295
8555,33,2012,0,3,3,2,2.777003,1.719291
12646,51,1990,0,4,1,2,2.638417,1.769652
11984,48,2010,0,0,4,2,3.224627,0.796288
13988,57,2009,1,0,4,0,3.593259,1.432227
14159,59,2000,0,4,5,2,2.666444,1.328796
14967,62,2005,0,3,4,0,2.274279,1.971036
10148,39,2014,1,2,2,0,3.960832,0.506
14730,61,2006,1,4,5,1,2.711847,0.884323
944,3,2001,0,0,4,2,2.65792,2.051013
10694,42,1996,0,5,1,0,3.051899,0.562704
14174,59,2001,1,3,4,2,2.66913,1.32934
19554,83,1991,1,1,0,0,4.255942,1.438431
16099,66,2012,1,3,3,2,2.334267,1.7142
13274,54,2006,0,1,2,0,4.046277,0.722001
5729,22,2011,1,5,5,0,2.706139,2.134149
19358,81,2004,0,5,5,1,4.430855,5.00611
18920,79,2011,0,2,2,2,3.760554,0.772363
13427,55,1992,0,0,2,0,4.170798,1.683077
18032,75,2011,1,0,4,0,4.548765,1.850604
3355,14,1991,0,4,5,2,2.77757,1.873761
15749,65,2010,0,3,3,0,3.498145,0.733654
3161,13,2001,1,5,5,2,4.106735,2.707953
5589,22,1998,0,4,5,0,2.872348,1.884987
11209,45,1993,1,2,0,0,3.537948,0.66614
11933,48,2003,1,4,5,2,3.370651,0.740797
4243,17,1992,1,5,1,2,2.293496,1.443448
17745,74,2011,0,1,4,2,4.029737,1.771161
2465,10,1994,1,4,5,0,3.633646,1.441613
7483,30,1991,0,2,0,2,2.773673,2.037677
12573,50,2011,1,0,4,2,3.537207,1.284562
8508,33,2008,1,0,4,2,2.794045,1.689027
1575,5,2006,1,0,4,0,3.344704,1.939117
15831,66,1990,0,4,1,2,2.367998,2.01449
975,3,2006,1,1,2,2,2.698772,1.932295
434,1,2009,0,2,0,0,2.541514,2.107696
8193,32,2004,1,4,5,0,4.364038,1.078711
580,2,1997,0,4,5,2,3.636296,2.267957
16240,67,2006,1,3,4,2,2.644229,1.974473
