,sex,age,generation,incomelevel,depression,alcohol
11,1,5,1,2,2.143395,1.706053
18980,0,4,1,2,2.9136,2.348821
17349,0,0,4,0,3.395532,0.836631
18317,0,3,3,0,3.731711,1.3792
4045,0,2,0,0,4.271243,2.607819
11527,1,0,4,0,3.509444,4.479028
1085,0,2,2,2,2.740289,1.981193
15840,1,1,0,2,2.369771,2.029062
3581,0,1,4,2,2.545709,1.838541
997,0,2,0,2,2.707865,1.966586
3000,0,2,2,1,2.837546,1.771524
215,1,5,5,2,2.206033,1.824955
8431,0,0,4,2,2.805102,1.648756
1009,1,0,4,2,2.71182,1.982901
10647,1,3,4,0,3.064306,0.554292
14242,0,2,0,2,2.669106,1.358762
18612,0,5,5,2,3.085864,0.892095
6362,1,0,2,1,3.131583,3.222535
16102,1,2,2,2,2.335909,1.708826
20387,0,3,3,0,3.555894,1.167108
12477,1,2,0,2,3.654115,1.213637
152,0,2,0,2,2.222116,1.701433
2193,0,0,4,0,2.716531,1.577273
19328,0,3,4,1,4.422658,5.223568
8738,0,3,4,2,3.482448,3.054103
16421,1,4,5,0,2.920204,0.854161
18357,1,2,0,2,3.005804,0.84454
18605,1,3,3,2,3.089677,0.884054
19770,1,1,2,0,4.121572,1.889701
3516,1,3,4,2,2.625163,1.772424
9719,1,5,5,0,4.357451,1.894388
13669,0,4,0,0,3.974729,1.896684
3897,1,1,4,0,3.926503,1.599727
12725,1,1,2,2,2.72766,1.677312
17998,0,4,5,0,4.556682,1.8017
8508,1,0,4,2,2.794045,1.689027
8750,1,3,4,2,3.486581,2.999772
12090,1,3,4,0,3.412645,1.04369
14349,0,5,1,2,2.773502,2.160688
9625,0,2,0,0,4.231725,1.801893
7688,0,2,2,2,2.787449,2.047773
2687,0,3,3,0,4.110062,1.450025
14374,0,1,0,2,2.813845,2.188783
13210,0,2,0,0,4.080509,0.801701
1186,1,0,2,0,4.810776,1.532104
5534,0,4,5,0,2.943266,1.8755
11854,0,4,0,0,3.618721,1.372449
14880,0,1,2,0,2.306339,1.897543
18768,1,1,2,0,3.355561,1.597734
3913,0,1,0,0,4.401565,2.204169
14439,0,1,2,2,2.833395,2.198905
18351,0,5,1,2,2.994226,0.830684
14431,1,0,2,2,2.833395,2.198905
4575,0,3,4,2,2.771902,1.405625
15293,1,3,3,0,4.774924,1.296311
16917,0,4,0,0,2.906482,2.224285
15755,1,0,4,0,3.49216,0.734531
16699,1,3,4,0,3.472043,0.468699
10905,0,3,3,0,3.227353,0.573932
20638,0,3,3,1,2.884706,1.99048
9010,0,0,2,2,3.94451,1.933601
19392,1,4,5,1,4.255071,4.966454
2564,1,4,5,0,3.90036,1.473649
9147,0,5,5,0,2.813205,2.243461
446,0,2,2,0,2.536427,2.120836
14088,0,4,5,0,3.448564,0.679011
16058,0,5,5,2,2.332176,1.734348
649,1,1,2,2,3.658181,2.259731
14273,1,1,2,2,2.6524,1.402402
11705,1,3,4,0,3.891792,1.445168
